	Domain	Phylum	Class	Order	Family	Genus	Species
OTU06164	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia sp. UCT2
OTU06165	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Eubacteriaceae	 Acetobacterium	 Acetobacterium wieringae
OTU06166	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. 4G2_DIV0659
OTU06167	Bacteria	 Campylobacterota	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	 Campylobacter sp. MG1
OTU06168	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Nocardiaceae	 Nocardia	 Nocardia nova
OTU06169	Bacteria	 Mycoplasmatota	 Mollicutes	 Mycoplasmatales	 Mycoplasmataceae	 Mycoplasma	 NA
OTU06170	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus canis
OTU06171	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Erwiniaceae	 Erwinia	 Erwinia sp. 198
OTU06172	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Eubacteriaceae	 Eubacterium	 Eubacterium sp. CAG:248
OTU06173	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Microbacteriaceae	 Agromyces	 Agromyces sp. NDB4Y10
OTU06174	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas fitomaticsae
OTU06175	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Phocaeicola	 Phocaeicola plebeius
OTU06176	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Defluviicoccus	 Defluviicoccus sp.
OTU06177	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Methylobacteriaceae	 Methylobacterium	 Methylobacterium sp. SCN 67-24
OTU06178	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Silvania	 Silvania confinis
OTU06179	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Thiotrichales	 Piscirickettsiaceae	 Piscirickettsia	 Piscirickettsia litoralis
OTU06180	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas ginsenosidimutans
OTU06181	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. 8E11_MSG4843
OTU06182	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Blautia	 Blautia sp. AF22-5LB
OTU06183	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter ghigonis
OTU06184	Eukaryota	 Ascomycota	 Eurotiomycetes	 Eurotiales	 Aspergillaceae	 Penicillium	 Penicillium decumbens
OTU06185	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. Colony2
OTU06186	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Boseaceae	 Bosea	 Bosea sp. 124
OTU06187	Bacteria	 Pseudomonadota	 Betaproteobacteria	 NA	 NA	 NA	 beta proteobacterium AAP99
OTU06188	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Weeksellaceae	 Epilithonimonas	 Epilithonimonas vandammei
OTU06189	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter sp. ANC 4635
OTU06190	Bacteria	 Bacillota	 Bacilli	 Bacillales	 Planococcaceae	 Sporosarcina	 NA
OTU06191	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. MF6751
OTU06192	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas typographi
OTU06193	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. MWU13-2105
OTU06194	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Methylobacteriaceae	 Methylobacterium	 Methylobacterium brachiatum
OTU06195	Eukaryota	 Oomycota	 NA	 Peronosporales	 Peronosporaceae	 Phytophthora	 Phytophthora pseudosyringae
OTU06196	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. P7779
OTU06197	Eukaryota	 Microsporidia	 NA	 NA	 Enterocytozoonidae	 Hepatospora	 Hepatospora eriocheir
OTU06198	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Mesorhizobium	 Mesorhizobium escarrei
OTU06199	Eukaryota	 Chlorophyta	 Ulvophyceae	 Bryopsidales	 Caulerpaceae	 Caulerpa	 NA
OTU06200	Viruses	 Uroviricota	 Caudoviricetes	 NA	 Drexlerviridae	 NA	 NA
OTU06201	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Alkaliphilus	 Alkaliphilus hydrothermalis
OTU06202	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 NA	 NA	 Candidatus Kentron	 NA
OTU06203	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas plecoglossicida
OTU06204	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. 5B3_DIV0040
OTU06205	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter beijerinckii
OTU06206	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas versuta
OTU06207	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Brevundimonas	 Brevundimonas sp. SL130
OTU06208	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. LS1212
OTU06209	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas sp. T1
OTU06210	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. GP01-A4
OTU06211	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Fructilactobacillus	 Fructilactobacillus fructivorans
OTU06212	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. MF6755
OTU06213	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Micrococcaceae	 Renibacterium	 Renibacterium salmoninarum
OTU06214	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter pragensis
OTU06215	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Microbacteriaceae	 Microbacterium	 uncultured Microbacterium sp.
OTU06216	Bacteria	 Bacillota	 Erysipelotrichia	 Erysipelotrichales	 Coprobacillaceae	 Thomasclavelia	 [Clostridium] innocuum
OTU06217	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia sp. RAU2J
OTU06218	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 Stenotrophomonas sp. VV52
OTU06219	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halomonas	 Halomonas sp. NyZ770
OTU06220	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Marinobacteraceae	 Marinobacter	 Marinobacter nauticus
OTU06221	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia sacchari
OTU06222	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 Ruminococcus	 Ruminococcus sp. CAG:563
OTU06223	Bacteria	 Bacteroidota	 Cytophagia	 Cytophagales	 NA	 NA	 Cytophagales bacterium CG18_big_fil_WC_8_21_14_2_50_42_9
OTU06224	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. DIV1271a
OTU06225	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Carnobacteriaceae	 Trichococcus	 Trichococcus ilyis
OTU06226	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 Actinomyces ruminis
OTU06227	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	 Xanthomonas campestris
OTU06228	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Caballeronia	 Caballeronia zhejiangensis
OTU06229	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Ottowia	 Ottowia thiooxydans
OTU06230	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. GD03696
OTU06231	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter gilvus
OTU06232	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Demequinaceae	 Demequina	 NA
OTU06233	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Mesorhizobium	 Mesorhizobium sp. M7A.F.Ca.US.006.01.1.1
OTU06234	Bacteria	 Bacteroidota	 Cytophagia	 Cytophagales	 Hymenobacteraceae	 Hymenobacter	 Hymenobacter sp. 5420S-77
OTU06235	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Caballeronia	 Caballeronia mineralivorans
OTU06236	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium sp. CH28
OTU06237	Bacteria	 Bacillota	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Caldanaerobius	 NA
OTU06238	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas sp. Sph1(2015)
OTU06239	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Citrobacter	 Citrobacter sp. S-77
OTU06240	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Erwiniaceae	 Pantoea	 Pantoea sp. BAV 3049
OTU06241	Bacteria	 Thermodesulfobacteriota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae	 Megalodesulfovibrio	 Megalodesulfovibrio gigas
OTU06242	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas taiwanensis
OTU06243	Bacteria	 Bacillota	 Bacilli	 Bacillales	 Bacillaceae	 Alteribacter	 Alteribacter natronophilus
OTU06244	Bacteria	 Actinomycetota	 Actinomycetes	 Kitasatosporales	 Streptomycetaceae	 Streptomyces	 Streptomyces rapamycinicus
OTU06245	Bacteria	 Bacillota	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus sp. IHB B 3415
OTU06246	Bacteria	 Bacteroidota	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Niabella	 Niabella agricola
OTU06247	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. FSL W5-0299
OTU06248	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. BBP2017
OTU06249	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Dermabacteraceae	 Dermabacter	 Dermabacter hominis
OTU06250	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodobacterales	 Paracoccaceae	 Tritonibacter	 Tritonibacter mobilis
OTU06251	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium akiainvivens
OTU06252	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 Stenotrophomonas sp. yr243
OTU06253	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Mesorhizobium	 Mesorhizobium comanense
OTU06254	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium daemonense
OTU06255	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Rudaea	 Rudaea sp. 3F27F6
OTU06256	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium hydrogeniformans
OTU06257	Bacteria	 Bacillota	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Thermoanaerobacter	 Thermoanaerobacter wiegelii
OTU06258	Eukaryota	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Trichomonascaceae	 Sugiyamaella	 Sugiyamaella lignohabitans
OTU06259	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Brucellaceae	 Ochrobactrum	 Ochrobactrum sp. LM19
OTU06260	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Alcaligenes	 Alcaligenes nematophilus
OTU06261	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Sulfitobacter	 Sulfitobacter porphyrae
OTU06262	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. SYP-B3415
OTU06263	Eukaryota	 Chytridiomycota	 Neocallimastigomycetes	 Neocallimastigales	 Neocallimastigaceae	 Neocallimastix	 NA
OTU06264	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 Prevotella dentasini
OTU06265	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia seminalis
OTU06266	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. 8AS
OTU06267	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas kilonensis
OTU06268	Eukaryota	 Zoopagomycota	 Kickxellomycetes	 Kickxellales	 Kickxellaceae	 Coemansia	 Coemansia sp. RSA 988
OTU06269	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Maribacter	 Maribacter sp. D37
OTU06270	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Enterobacter	 Enterobacter sp. 2VL
OTU06271	Bacteria	 Thermodesulfobacteriota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae	 Bilophila	 NA
OTU06272	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 NA	 NA	 Bacteroidales bacterium 36-12
OTU06273	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Capnocytophaga	 Capnocytophaga haemolytica
OTU06274	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Enterobacter	 Enterobacter sp. R1(2018)
OTU06275	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia sp. BL6669N2
OTU06276	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Massilia	 Massilia sp. LPB0304
OTU06277	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Ligilactobacillus	 Ligilactobacillus equi
OTU06278	Bacteria	 Bacillota	 Desulfuribacillia	 Desulfuribacillales	 Desulfuribacillaceae	 Desulfuribacillus	 Desulfuribacillus alkaliarsenatis
OTU06279	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Marinobacteraceae	 Marinobacter	 Marinobacter changyiensis
OTU06280	Eukaryota	 Ascomycota	 Sordariomycetes	 Hypocreales	 Ophiocordycipitaceae	 Ophiocordyceps	 Ophiocordyceps unilateralis
OTU06281	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Dermatophilaceae	 Kineosphaera	 Kineosphaera limosa
OTU06282	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Acidovorax	 NA
OTU06283	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae	 Aeromonas	 Aeromonas cavernicola
OTU06284	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Maricaulales	 Maricaulaceae	 Maricaulis	 Maricaulis alexandrii
OTU06285	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Advenella	 Advenella mandrilli
OTU06286	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. IPO3774
OTU06287	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Neorhizobium	 Neorhizobium lilium
OTU06288	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. CC120222-01a
OTU06289	Bacteria	 Bacillota	 Bacilli	 Bacillales	 Bacillaceae	 Lysinibacillus	 NA
OTU06290	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. Root329
OTU06291	Bacteria	 Actinomycetota	 Actinomycetes	 Micrococcales	 Microbacteriaceae	 Leucobacter	 NA
OTU06292	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. R84
OTU06293	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. ANT_H12B
OTU06294	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. RW405
OTU06295	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium sartagoforme
OTU06296	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Brotolimicola	 Brotolimicola acetigignens
OTU06297	Viruses	 Uroviricota	 Caudoviricetes	 NA	 NA	 NA	 Xanthomonas phage JGB6
OTU06298	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter sp. C16S1
OTU06299	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas sp. WKB10
OTU06300	Eukaryota	 Basidiomycota	 Ustilaginomycetes	 Ustilaginales	 NA	 NA	 NA
OTU06301	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus innesii
OTU06302	Bacteria	 Actinomycetota	 Actinomycetes	 Kitasatosporales	 Streptomycetaceae	 Kitasatospora	 Kitasatospora sp. MAA4
OTU06303	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas moorei
OTU06304	Eukaryota	 Ascomycota	 Sordariomycetes	 Xylariales	 Hypoxylaceae	 Annulohypoxylon	 Annulohypoxylon truncatum
OTU06305	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Enorma	 Enorma phocaeensis
