	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 NA
OTU00002	Unknown
OTU00003	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter cryoconitis
OTU00004	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 NA	 NA	 NA
OTU00005	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Salmonella	 Salmonella enterica
OTU00006	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 NA
OTU00007	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Hungatella	 Hungatella hathewayi
OTU00008	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas fluorescens
OTU00009	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. 22 E 5
OTU00010	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Budvicia	 Budvicia diplopodorum
OTU00011	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 NA	 NA	 NA
OTU00012	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Citrobacter	 NA
OTU00013	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 NA	 NA
OTU00014	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas reactans
OTU00015	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 NA	 NA
OTU00016	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 NA
OTU00017	Bacteria	 Pseudomonadota	 NA	 NA	 NA	 NA	 NA
OTU00018	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Leminorella	 Leminorella grimontii
OTU00019	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Feifaniaceae	 Feifania	 Feifania hominis
OTU00020	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella michiganensis
OTU00021	Eukaryota	 Ciliophora	 Oligohymenophorea	 Hymenostomatida	 Tetrahymenidae	 Tetrahymena	 Tetrahymena thermophila
OTU00022	Eukaryota	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Phialophora	 Phialophora attinorum
OTU00023	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 NA	 NA	 NA	 NA
OTU00024	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium calauticae
OTU00025	Eukaryota	 Apicomplexa	 Aconoidasida	 Piroplasmida	 NA	 NA	 NA
OTU00026	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Anaeropeptidivorans	 Anaeropeptidivorans aminofermentans
OTU00027	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli
OTU00028	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter pedocola
OTU00029	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter sp. SG564
OTU00030	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Pragia	 Pragia fontium
OTU00031	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter pankratovii
OTU00032	Bacteria	 NA	 NA	 NA	 NA	 NA	 uncultured bacterium
OTU00033	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 NA
OTU00034	Bacteria	 Bacteroidota	 NA	 NA	 NA	 NA	 Bacteroidetes bacterium HGW-Bacteroidetes-7
OTU00035	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter insulae
OTU00036	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Yersiniaceae	 Serratia	 Serratia entomophila
OTU00037	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Marinobacteraceae	 Marinobacter	 Marinobacter profundi
OTU00038	Eukaryota	 Apicomplexa	 Conoidasida	 Eugregarinorida	 Gregarinidae	 Gregarina	 Gregarina niphandrodes
OTU00039	Bacteria	 NA	 NA	 NA	 NA	 NA	 NA
OTU00040	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella oxytoca
OTU00041	Bacteria	 Bacillota	 NA	 NA	 NA	 NA	 NA
OTU00042	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella grimontii
OTU00043	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 NA	 NA
OTU00044	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium myrsinacearum
OTU00045	Eukaryota	 Basidiomycota	 Agaricomycetes	 Agaricales	 Tricholomataceae	 Tricholoma	 Tricholoma matsutake
OTU00046	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 NA
OTU00047	Eukaryota	 NA	 NA	 NA	 Vitrellaceae	 Vitrella	 Vitrella brassicaformis
OTU00048	Bacteria	 Bacteroidota	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga sp. YR627
OTU00049	Eukaryota	 Ciliophora	 Heterotrichea	 Heterotrichida	 Blepharismidae	 Blepharisma	 NA
OTU00050	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas syringae
OTU00051	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 NA	 NA
OTU00052	Bacteria	 Bacteroidota	 NA	 NA	 NA	 NA	 NA
OTU00053	Eukaryota	 Chytridiomycota	 Chytridiomycetes	 NA	 NA	 NA	 NA
OTU00054	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Coxiella	 Coxiella sp. RIFCSPHIGHO2_12_FULL_44_14
OTU00055	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 NA	 NA
OTU00056	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Limnobaculum	 NA
OTU00057	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 NA	 NA
OTU00058	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 NA
OTU00059	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Budvicia	 Budvicia aquatica
OTU00060	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella spallanzanii
OTU00061	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Leminorella	 Leminorella richardii
OTU00062	Viruses	 Nucleocytoviricota	 Pokkesviricetes	 Chitovirales	 Poxviridae	 Betaentomopoxvirus	 Mythimna separata entomopoxvirus
OTU00063	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Blautia	 Blautia sp. XA-2221
OTU00064	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Entomohabitans	 Entomohabitans teleogrylli
OTU00065	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Insectihabitans	 Insectihabitans xujianqingii
OTU00066	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. Leaf176
OTU00067	Eukaryota	 Mucoromycota	 Mucoromycetes	 Mucorales	 Rhizopodaceae	 Rhizopus	 NA
OTU00068	Bacteria	 Actinomycetota	 Actinomycetes	 Kitasatosporales	 Streptomycetaceae	 Streptomyces	 NA
OTU00069	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 NA	 NA	 Clostridiales bacterium
OTU00070	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Limnobaculum	 Limnobaculum eriocheiris
OTU00071	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas putida
OTU00072	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 NA	 NA	 NA
OTU00073	Eukaryota	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Saccharomycetaceae	 Zygotorulaspora	 Zygotorulaspora mrakii
OTU00074	Eukaryota	 Chytridiomycota	 Chytridiomycetes	 NA	 Quaeritorhizaceae	 Quaeritorhiza	 Quaeritorhiza haematococci
OTU00075	Bacteria	 Candidatus Cloacimonadota	 Candidatus Cloacimonadia	 Candidatus Cloacimonadales	 Candidatus Cloacimonadaceae	 Candidatus Cloacimonas	 Candidatus Cloacimonas sp. SDB
OTU00076	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Anaerocolumna	 Anaerocolumna aminovalerica
OTU00077	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Anaerocolumna	 NA
OTU00078	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. 9E7_DIV0242
OTU00079	Eukaryota	 Zoopagomycota	 Kickxellomycetes	 Kickxellales	 Kickxellaceae	 Spiromyces	 Spiromyces aspiralis
OTU00080	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 NA
OTU00081	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia fungorum
OTU00082	Eukaryota	 NA	 Choanoflagellata	 Craspedida	 Salpingoecidae	 Monosiga	 Monosiga brevicollis
OTU00083	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas marginalis
OTU00084	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Shimwellia	 Shimwellia blattae
OTU00085	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 NA	 NA	 Clostridiales bacterium 52_15
OTU00086	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Shinella	 Shinella pollutisoli
OTU00087	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas viridiflava
OTU00088	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 NA
OTU00089	Eukaryota	 Mucoromycota	 Mucoromycetes	 Mucorales	 Rhizopodaceae	 Rhizopus	 Rhizopus arrhizus
OTU00090	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium sp. CAG:411
OTU00091	Eukaryota	 Apicomplexa	 Conoidasida	 Eucoccidiorida	 Eimeriidae	 Eimeria	 Eimeria brunetti
OTU00092	Eukaryota	 Microsporidia	 NA	 NA	 NA	 Pseudoloma	 Pseudoloma neurophilia
OTU00093	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium bourgognense
OTU00094	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 NA
OTU00095	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 NA	 Clostridiaceae bacterium BL-3
OTU00096	Bacteria	 NA	 NA	 NA	 NA	 NA	 bacterium 1XD8-76
OTU00097	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Vibrio	 Vibrio quintilis
OTU00098	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Pectobacteriaceae	 Samsonia	 Samsonia erythrinae
OTU00099	Eukaryota	 Rhodophyta	 Florideophyceae	 Gracilariales	 Gracilariaceae	 Gracilariopsis	 Gracilariopsis chorda
OTU00100	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter jejuensis
OTU00101	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium stellerae
OTU00102	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Stutzerimonas	 Stutzerimonas stutzeri
OTU00103	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. PAMC26386
OTU00104	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Parasporobacterium	 Parasporobacterium paucivorans
OTU00105	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Shigella	 Shigella flexneri
OTU00106	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas savastanoi
OTU00107	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia stabilis
OTU00108	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 NA	 NA
OTU00109	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas rhodesiae
OTU00110	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus pallens
OTU00111	Eukaryota	 Mucoromycota	 Glomeromycetes	 Paraglomerales	 Paraglomeraceae	 Paraglomus	 Paraglomus brasilianum
OTU00112	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Photorhabdus	 NA
OTU00113	Viruses	 Nucleocytoviricota	 Megaviricetes	 Pimascovirales	 Ascoviridae	 Toursvirus	 Diabrotica toursvirus 3a
OTU00114	Bacteria	 Actinomycetota	 Actinomycetes	 Streptosporangiales	 Thermomonosporaceae	 Actinomadura	 NA
OTU00115	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. PACM 27299
OTU00116	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 Massiliimalia	 Massiliimalia massiliensis
OTU00117	Eukaryota	 Apicomplexa	 Conoidasida	 Eucoccidiorida	 Eimeriidae	 NA	 NA
OTU00118	Eukaryota	 Ascomycota	 NA	 NA	 NA	 NA	 NA
OTU00119	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter ginsenosidimutans
OTU00120	Bacteria	 Bacillota	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Massilimicrobiota	 Massilimicrobiota sp. SW1139
OTU00121	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Sporofaciens	 Sporofaciens musculi
OTU00122	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Jinshanibacter	 Jinshanibacter allomyrinae
OTU00123	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Erwiniaceae	 Erwinia	 NA
OTU00124	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Jinshanibacter	 Jinshanibacter zhutongyuii
OTU00125	Eukaryota	 NA	 Choanoflagellata	 Craspedida	 Salpingoecidae	 Salpingoeca	 Salpingoeca rosetta
OTU00126	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Morganella	 Morganella morganii
OTU00127	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Candidatus Galacturonibacter	 Candidatus Galacturonibacter soehngenii
OTU00128	Bacteria	 Bacteroidota	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Muricauda	 NA
OTU00129	Bacteria	 Bacteroidota	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 [Flexibacter] sp. ATCC 35208
OTU00130	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia ribeironis
OTU00131	Eukaryota	 NA	 NA	 Jakobida	 NA	 Seculamonas	 Seculamonas ecuadoriensis
OTU00132	Bacteria	 Bacillota	 Bacilli	 Bacillales	 Paenibacillaceae	 Fontibacillus	 Fontibacillus solani
OTU00133	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium polynesiense
OTU00134	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 Ruminococcus	 Ruminococcus sp. CAG:724
OTU00135	Eukaryota	 Zoopagomycota	 Kickxellomycetes	 Kickxellales	 Kickxellaceae	 Coemansia	 NA
OTU00136	Bacteria	 Bacteroidota	 Bacteroidia	 NA	 NA	 NA	 Bacteroidia bacterium
OTU00137	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Eubacteriales Family XIII. Incertae Sedis	 Sinanaerobacter	 Sinanaerobacter chloroacetimidivorans
OTU00138	Eukaryota	 Ascomycota	 Sordariomycetes	 Xylariales	 Sporocadaceae	 Neopestalotiopsis	 Neopestalotiopsis clavispora
OTU00139	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas veronii
OTU00140	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 Ruthenibacterium	 Ruthenibacterium lactatiformans
OTU00141	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Enterobacter	 Enterobacter hormaechei
OTU00142	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Citrobacter	 Citrobacter koseri
OTU00143	Eukaryota	 Ascomycota	 Eurotiomycetes	 Eurotiales	 Aspergillaceae	 Aspergillus	 Aspergillus clavatus
OTU00144	Bacteria	 NA	 NA	 NA	 NA	 NA	 candidate division KSB1 bacterium
OTU00145	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter sp. Root1280
OTU00146	Eukaryota	 Apicomplexa	 Conoidasida	 Eucoccidiorida	 Sarcocystidae	 Toxoplasma	 Toxoplasma gondii
OTU00147	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Yersiniaceae	 Yersinia	 Yersinia aldovae
OTU00148	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. GV105
OTU00149	Eukaryota	 Oomycota	 NA	 Saprolegniales	 Saprolegniaceae	 NA	 NA
OTU00150	Eukaryota	 NA	 Pelagophyceae	 NA	 NA	 NA	 Pelagophyceae sp. CCMP2097
OTU00151	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Photobacterium	 NA
OTU00152	Eukaryota	 Apicomplexa	 Aconoidasida	 Piroplasmida	 Babesiidae	 Babesia	 NA
OTU00153	Eukaryota	 Ascomycota	 Sordariomycetes	 Xylariales	 Hypoxylaceae	 Hypoxylon	 NA
OTU00154	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 NA	 NA
OTU00155	Eukaryota	 Evosea	 Eumycetozoa	 Dictyosteliales	 Dictyosteliaceae	 Dictyostelium	 Dictyostelium discoideum
OTU00156	Eukaryota	 Basidiomycota	 Agaricomycetes	 Corticiales	 Punctulariaceae	 Punctularia	 Punctularia strigosozonata
OTU00157	Eukaryota	 Mucoromycota	 Umbelopsidomycetes	 Umbelopsidales	 Umbelopsidaceae	 Umbelopsis	 Umbelopsis isabellina
OTU00158	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. SYSU D00823
OTU00159	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa
OTU00160	Eukaryota	 Ascomycota	 Dothideomycetes	 Dothideales	 Saccotheciaceae	 Aureobasidium	 Aureobasidium melanogenum
OTU00161	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus sp. 9D6_DIV0238
OTU00162	Eukaryota	 Mucoromycota	 Umbelopsidomycetes	 Umbelopsidales	 Umbelopsidaceae	 Umbelopsis	 Umbelopsis ramanniana
OTU00163	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas antarctica
OTU00164	Eukaryota	 Basidiomycota	 Agaricomycetes	 Polyporales	 Meruliaceae	 Hermanssonia	 Hermanssonia centrifuga
OTU00165	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Pectobacteriaceae	 Dickeya	 Dickeya dadantii
OTU00166	Eukaryota	 Chlorophyta	 Trebouxiophyceae	 NA	 NA	 Coccomyxa	 Coccomyxa subellipsoidea
OTU00167	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium sp. D43t1_170807_H7
OTU00168	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. TKP
OTU00169	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. ok626
OTU00170	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas trivialis
OTU00171	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Noviherbaspirillum	 Noviherbaspirillum sp. UKPF54
OTU00172	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Lachnoclostridium	 [Clostridium] hylemonae
OTU00173	Bacteria	 Actinomycetota	 Actinomycetes	 Pseudonocardiales	 Pseudonocardiaceae	 Actinoalloteichus	 Actinoalloteichus hymeniacidonis
OTU00174	Eukaryota	 Apicomplexa	 Aconoidasida	 Haemosporida	 Plasmodiidae	 Plasmodium	 NA
OTU00175	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas orientalis
OTU00176	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 Stenotrophomonas sp. SKA14
OTU00177	Bacteria	 Campylobacterota	 Desulfurellia	 Desulfurellales	 Desulfurellaceae	 Hippea	 NA
OTU00178	Viruses	 Nucleocytoviricota	 Pokkesviricetes	 Chitovirales	 Poxviridae	 Betaentomopoxvirus	 Choristoneura biennis entomopoxvirus
OTU00179	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas echinoides
OTU00180	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas koreensis
OTU00181	Eukaryota	 Apicomplexa	 Conoidasida	 Eucoccidiorida	 Sarcocystidae	 NA	 NA
OTU00182	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Limnobaculum	 Limnobaculum parvum
OTU00183	Eukaryota	 Zoopagomycota	 Kickxellomycetes	 Kickxellales	 Kickxellaceae	 Coemansia	 Coemansia aciculifera
OTU00184	Eukaryota	 NA	 Cryptophyceae	 Pyrenomonadales	 Geminigeraceae	 Guillardia	 Guillardia theta
OTU00185	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 NA	 NA
OTU00186	Bacteria	 Bacillota	 Clostridia	 NA	 NA	 NA	 Clostridia bacterium
OTU00187	Bacteria	 Bacteroidota	 Cytophagia	 Cytophagales	 Flammeovirgaceae	 Flammeovirga	 NA
OTU00188	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter hartonius
OTU00189	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 NA
OTU00190	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Anaerostipes	 Anaerostipes caccae
OTU00191	Eukaryota	 Chlorophyta	 Chlorophyceae	 Sphaeropleales	 Scenedesmaceae	 Scenedesmus	 Scenedesmus sp. NREL 46B-D3
OTU00192	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 NA	 Lachnospiraceae bacterium G11
OTU00193	Bacteria	 Thermomicrobiota	 Thermomicrobia	 NA	 NA	 Thermorudis	 Thermorudis peleae
OTU00194	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium sp. AF37-5
OTU00195	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 NA	 NA	 NA
OTU00196	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Yersiniaceae	 Rahnella	 NA
OTU00197	Bacteria	 Candidatus Cloacimonadota	 NA	 NA	 NA	 NA	 Candidatus Cloacimonadota bacterium
OTU00198	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter nototheniae
OTU00199	Eukaryota	 Apicomplexa	 Aconoidasida	 Nephromycida	 NA	 Nephromyces	 Nephromyces sp. MMRI
OTU00200	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. Leaf132
OTU00201	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas silesiensis
