	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU02659	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU02660	7	0	2	0	8	0	0	0	1	0	4	0	0	1	0	0
OTU02661	2	0	10	1	0	0	2	4	7	3	8	0	0	0	0	0
OTU02662	4	7	9	15	33	4	0	1	0	0	14	1	6	11	1	1
OTU02663	1	2	12	0	17	2	0	0	0	0	16	0	2	14	0	1
OTU02664	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02665	6	0	3	1	12	2	0	0	0	0	4	0	2	8	0	1
OTU02666	1	5	1	1	0	0	0	0	1	2	5	2	2	1	0	2
OTU02667	2	1	3	0	14	1	0	0	0	0	3	0	1	4	0	0
OTU02668	4	3	10	20	2	0	2	4	5	5	10	2	3	0	4	2
OTU02669	7	11	9	8	25	10	14	6	19	6	17	4	14	12	6	17
OTU02670	7	0	0	2	14	0	0	0	0	0	5	0	3	5	0	0
OTU02671	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02672	2	0	3	1	6	1	1	0	0	0	4	0	5	4	2	0
OTU02673	7	5	2	3	9	1	8	2	9	5	3	3	6	7	5	6
OTU02674	3	0	1	0	0	0	0	0	2	8	1	0	1	0	0	0
OTU02675	7	2	1	0	0	0	0	0	3	1	2	0	1	0	1	0
OTU02676	2	0	1	0	5	0	0	0	0	0	5	0	0	0	0	0
OTU02677	4	1	4	3	4	1	2	5	2	3	5	3	6	1	1	4
OTU02678	3	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0
OTU02679	1	1	2	1	2	1	1	0	1	0	4	1	1	2	0	1
OTU02680	17	22	15	8	21	18	15	10	30	13	34	7	31	23	11	18
OTU02681	7	5	0	0	2	0	0	0	0	0	10	0	0	0	0	0
OTU02682	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU02683	3	4	4	1	7	2	5	5	4	4	5	4	3	9	4	5
OTU02684	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU02685	3	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0
OTU02686	3	25	1	0	1	0	0	0	0	2	20	1	0	0	0	0
OTU02687	8	4	5	0	1	0	0	1	2	0	4	0	0	1	0	0
OTU02688	4	2	1	1	3	4	4	1	5	3	1	1	3	3	1	2
OTU02689	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
OTU02690	6	6	8	7	12	7	8	6	5	10	7	4	8	12	10	10
OTU02691	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0
OTU02692	3	2	0	0	2	2	3	1	0	1	2	0	1	1	0	0
OTU02693	16	13	10	18	22	17	18	13	26	20	18	7	23	14	14	21
OTU02694	3	3	0	2	2	2	2	1	2	1	3	1	2	0	1	1
OTU02695	4	0	5	0	0	0	0	0	3	1	8	0	0	0	0	0
OTU02696	3	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0
OTU02697	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU02698	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02699	2	17	29	0	219	3	1	0	0	1	35	0	0	46	0	0
OTU02700	10	3	3	1	55	2	1	1	0	3	10	0	2	10	2	0
OTU02701	1	2	0	0	0	0	1	1	2	0	0	0	0	0	0	1
OTU02702	6	11	3	5	12	4	10	4	10	4	13	2	11	7	6	13
OTU02703	1	0	0	1	2	0	3	2	1	1	1	1	1	0	2	0
OTU02704	1	1	0	2	2	0	0	2	1	0	1	0	0	0	0	0
OTU02705	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU02706	15	11	8	12	25	11	18	11	21	9	25	7	10	12	9	8
OTU02707	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
OTU02708	7	7	8	4	10	3	4	5	15	8	15	4	9	8	4	6
OTU02709	26	8	4	4	24	3	1	2	0	1	40	0	7	41	1	2
OTU02710	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02711	14	10	12	16	12	13	14	24	28	19	34	10	21	10	13	18
OTU02712	8	3	0	0	2	0	0	2	3	1	8	0	0	1	0	0
OTU02713	15	5	31	15	0	0	0	10	29	5	37	0	0	0	0	0
OTU02714	4	0	2	0	0	0	0	0	3	0	0	1	1	0	0	0
OTU02715	2	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU02716	2	0	2	0	12	0	1	0	0	0	4	0	2	2	1	0
OTU02717	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU02718	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02719	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
OTU02720	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
OTU02721	2	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0
OTU02722	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02723	2	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0
OTU02724	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02725	3	1	1	1	1	0	0	3	7	0	0	0	1	4	1	1
OTU02726	4	3	1	0	0	0	0	0	1	1	1	0	0	0	0	0
OTU02727	12	1	8	1	8	0	1	1	0	0	8	0	7	3	0	0
OTU02728	11	3	30	8	0	0	0	14	15	8	17	0	0	0	0	0
OTU02729	6	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
OTU02730	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02731	3	1	5	1	3	1	0	0	0	0	4	0	0	2	0	0
OTU02732	4	1	8	2	0	0	0	1	6	3	6	0	0	0	0	0
OTU02733	14	4	3	3	0	1	2	2	7	2	2	0	1	1	0	1
OTU02734	13	2	3	0	7	0	6	0	0	0	2	0	15	8	0	0
OTU02735	2	1	3	2	7	0	3	3	4	0	2	1	1	5	0	2
OTU02736	5	3	1	2	5	1	2	0	3	1	3	2	9	2	2	3
OTU02737	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02738	6	16	11	23	20	7	30	15	23	12	20	7	16	21	17	21
OTU02739	2	0	4	0	0	0	0	2	2	1	5	0	0	0	0	0
OTU02740	1	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU02741	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU02742	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02743	18	14	17	21	46	13	25	21	36	23	34	18	28	34	23	27
OTU02744	4	0	0	0	3	0	1	0	0	0	0	0	3	2	0	0
OTU02745	4	2	5	2	17	2	0	0	0	0	7	0	0	5	0	0
OTU02746	1	3	1	0	2	1	0	0	3	0	2	6	3	3	1	1
OTU02747	26	4	30	15	1	1	1	8	23	13	39	0	0	0	0	0
OTU02748	4	0	1	0	0	0	1	0	3	0	4	0	4	3	2	0
OTU02749	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU02750	2	0	0	0	0	0	0	0	0	0	1	1	2	2	0	2
OTU02751	5	3	0	1	1	0	0	0	1	0	1	1	0	0	0	0
OTU02752	12	28	13	18	26	13	23	12	29	22	20	4	23	11	11	24
OTU02753	1	1	0	1	1	1	2	0	0	0	0	0	1	0	0	3
OTU02754	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU02755	2	4	4	5	4	1	3	4	8	1	5	2	2	3	4	5
OTU02756	10	1	5	6	0	0	0	3	11	2	5	0	0	0	0	0
OTU02757	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
OTU02758	1	1	0	0	2	1	2	0	0	0	2	0	1	1	0	0
OTU02759	6	0	1	0	5	3	0	0	0	0	13	1	0	10	1	1
OTU02760	5	3	1	1	5	1	0	0	0	0	4	0	1	5	0	0
OTU02761	3	3	6	5	5	0	2	3	3	1	10	0	1	1	0	1
OTU02762	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU02763	3	0	2	0	2	0	3	1	0	1	0	0	3	1	2	0
OTU02764	2	5	9	7	0	0	0	2	12	8	16	0	0	1	0	0
OTU02765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02766	7	13	4	6	15	1	7	5	10	11	10	4	12	7	8	12
OTU02767	1	2	0	1	2	0	1	2	3	3	3	1	1	2	0	1
OTU02768	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU02769	6	0	3	0	6	0	0	0	0	0	3	0	4	2	0	0
OTU02770	4	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU02771	7	6	7	3	12	5	9	3	8	7	6	5	12	8	6	13
OTU02772	1	0	0	2	2	2	1	1	2	0	2	0	1	1	0	1
OTU02773	4	3	13	1	10	3	4	2	21	4	29	1	3	4	0	5
OTU02774	4	2	1	6	1	0	2	1	2	1	3	0	3	0	3	0
OTU02775	6	6	6	6	17	4	6	7	11	4	14	6	9	4	5	5
OTU02776	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02777	3	0	0	3	1	0	2	0	1	1	1	1	0	0	2	3
OTU02778	5	0	4	0	5	0	0	0	0	0	6	0	2	4	0	0
OTU02779	4	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
OTU02780	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
OTU02781	1	0	2	0	2	0	0	0	0	0	1	0	1	0	0	0
OTU02782	2	6	1	2	3	1	2	0	2	0	1	1	2	2	0	1
OTU02783	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02784	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU02785	7	1	2	1	2	6	0	1	3	4	5	3	1	1	3	7
OTU02786	1	3	3	3	5	1	3	5	3	1	9	1	4	1	1	5
OTU02787	8	5	17	6	0	0	0	2	9	10	19	0	0	0	0	0
OTU02788	5	4	1	3	10	4	15	2	6	1	10	4	35	5	1	1
OTU02789	4	1	4	2	6	1	0	0	2	2	1	3	5	3	0	1
OTU02790	12	3	12	10	5	1	1	5	19	6	14	2	4	2	0	0
OTU02791	12	2	2	2	4	4	8	6	1	0	2	5	32	6	1	3
OTU02792	2	4	1	2	1	0	4	0	2	0	0	0	1	1	0	0
OTU02793	5	1	0	0	3	0	0	0	2	2	6	0	0	1	0	0
OTU02794	4	1	3	2	3	0	0	0	0	0	3	0	0	0	0	1
OTU02795	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02796	3	0	1	0	9	1	0	1	0	0	0	0	0	2	0	0
OTU02797	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02798	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU02799	1	3	2	1	1	2	2	1	3	1	1	1	2	1	0	2
OTU02800	5	5	4	4	3	2	4	2	9	1	4	2	5	6	1	1
OTU02801	1	0	1	0	3	1	0	0	0	0	2	0	1	0	0	0
OTU02802	9	2	2	1	9	2	0	0	0	3	3	1	2	5	0	0
OTU02803	4	6	10	3	0	0	0	11	15	6	19	0	0	0	0	0
OTU02804	5	0	4	1	1	2	0	0	0	0	0	0	1	0	0	0
OTU02805	6	5	1	4	8	5	5	1	3	3	7	1	9	1	1	5
OTU02806	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02807	1	1	1	1	3	0	0	1	3	3	0	3	6	4	0	4
OTU02808	3	2	1	0	2	1	0	5	4	3	6	2	2	0	3	2
OTU02809	5	9	4	10	11	7	5	2	8	6	7	8	19	4	8	10
OTU02810	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU02811	5	1	6	6	1	1	1	0	10	2	8	0	0	2	1	1
OTU02812	3	22	1	37	31	7	3	1	61	3	20	16	29	171	15	83
OTU02813	8	19	10	9	23	9	12	9	23	14	17	8	22	16	12	21
OTU02814	1	0	0	0	0	0	2	1	1	0	7	0	0	0	0	0
OTU02815	2	1	0	0	2	0	0	2	0	0	0	0	1	3	0	1
OTU02816	24	4	2	0	6	0	1	0	4	0	10	1	3	2	0	0
OTU02817	1	0	0	1	3	1	1	2	1	2	3	2	5	2	1	2
OTU02818	1	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0
OTU02819	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02820	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02821	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02822	3	1	0	1	1	0	0	0	3	0	4	0	1	0	0	1
OTU02823	2	0	4	0	0	0	0	0	4	1	9	0	0	0	0	0
OTU02824	1	0	1	0	4	1	0	0	0	0	1	0	1	6	0	0
OTU02825	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
OTU02826	2	1	2	2	0	1	1	1	3	0	2	0	0	0	2	1
OTU02827	3	0	4	2	6	2	5	3	2	3	8	1	4	3	5	5
OTU02828	2	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU02829	11	2	6	0	29	0	2	0	0	0	9	0	3	12	0	1
OTU02830	2	6	0	0	1	2	2	5	5	3	6	0	1	4	2	0
OTU02831	3	5	4	8	4	0	0	4	4	2	4	3	4	2	1	2
OTU02832	7	5	3	0	1	1	4	2	2	0	8	0	9	2	0	0
OTU02833	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
OTU02834	4	5	5	6	9	1	5	3	3	2	7	2	4	5	9	3
OTU02835	6	4	12	7	0	0	0	2	8	3	15	0	0	0	0	0
OTU02836	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU02837	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02838	2	0	1	1	0	0	0	3	1	2	1	0	0	0	0	0
OTU02839	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02840	4	5	6	5	22	3	1	0	0	0	9	0	2	5	0	2
OTU02841	7	13	3	11	9	8	11	6	14	13	12	6	16	10	8	16
OTU02842	3	2	1	4	4	1	2	3	2	1	2	2	0	1	0	4
OTU02843	4	4	3	2	7	1	2	2	3	2	4	1	9	4	1	3
OTU02844	24	26	18	23	31	12	15	16	28	15	26	16	26	12	18	29
OTU02845	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU02846	5	2	4	2	14	0	0	0	0	0	5	0	5	2	0	2
OTU02847	1	0	0	2	0	0	2	0	2	1	1	0	3	1	0	1
OTU02848	1	2	3	1	5	4	2	0	6	2	2	2	2	2	2	3
OTU02849	6	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU02850	3	3	2	0	1	0	1	0	0	0	4	0	0	0	0	0
OTU02851	2	0	1	2	4	3	1	4	10	3	1	0	4	0	1	1
OTU02852	3	4	13	5	11	15	10	9	15	14	4	6	11	8	4	7
OTU02853	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02854	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU02855	4	0	1	2	0	0	0	1	3	2	2	0	2	0	0	0
OTU02856	2	1	7	5	0	0	1	1	3	2	8	0	0	0	0	0
OTU02857	9	7	14	0	67	9	4	2	0	0	13	0	8	10	5	2
OTU02858	1	1	2	4	0	0	1	3	1	0	1	0	1	2	1	0
OTU02859	1	6	12	0	5	1	0	0	0	0	8	0	3	1	0	0
OTU02860	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02861	1	1	1	3	3	1	2	0	0	0	2	0	0	0	2	0
OTU02862	4	7	2	8	5	2	8	2	9	3	7	1	7	4	5	8
OTU02863	3	2	3	0	2	0	0	3	2	1	1	1	3	1	2	2
OTU02864	4	2	7	5	1	2	0	1	2	2	5	0	4	0	1	2
OTU02865	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0
OTU02866	2	3	1	0	2	3	2	0	4	1	4	1	3	0	2	2
OTU02867	1	0	3	2	0	0	0	1	3	2	4	0	0	1	0	0
OTU02868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02869	15	4	7	9	3	6	21	3	16	5	23	3	23	10	2	6
OTU02870	25	10	18	15	6	7	6	13	28	18	31	7	10	7	4	12
OTU02871	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
OTU02872	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU02873	1	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0
OTU02874	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU02875	2	2	4	3	3	4	6	0	6	2	5	4	2	4	1	5
OTU02876	7	7	2	3	3	3	3	3	2	1	6	2	1	2	3	3
OTU02877	3	1	2	1	4	11	9	1	0	1	12	0	20	3	5	2
OTU02878	1	0	1	1	15	0	0	1	0	0	12	0	1	8	0	0
OTU02879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02880	3	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0
OTU02881	8	3	0	0	0	0	0	3	3	0	9	0	0	0	0	0
OTU02882	1	0	0	0	2	1	0	1	2	1	3	0	0	2	0	1
OTU02883	26	7	10	6	30	1	0	1	1	3	12	0	7	9	1	6
OTU02884	3	3	6	10	9	4	4	5	16	8	8	7	7	7	6	11
OTU02885	1	1	0	0	0	0	1	0	0	2	1	0	0	1	0	1
OTU02886	7	5	3	4	5	3	6	5	10	6	4	4	8	8	6	6
OTU02887	2	3	1	0	1	0	0	1	0	0	5	0	1	0	0	0
OTU02888	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU02889	1	2	2	0	2	2	3	2	3	2	4	1	2	3	2	5
OTU02890	14	2	0	0	1	0	0	0	1	1	7	0	0	0	0	0
OTU02891	3	1	0	0	3	1	2	5	1	0	2	0	1	3	0	2
OTU02892	1	0	3	0	2	2	10	1	2	0	4	0	6	3	0	0
OTU02893	3	1	2	0	4	0	1	0	0	0	3	0	4	0	0	0
OTU02894	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU02895	5	1	13	5	0	0	0	5	10	3	14	0	0	0	0	0
OTU02896	8	3	11	9	13	6	8	3	10	7	10	9	9	9	4	7
OTU02897	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02898	1	1	0	2	1	1	1	0	0	0	0	0	1	1	2	0
OTU02899	4	0	0	0	1	0	0	0	0	0	4	0	1	1	0	0
OTU02900	1	1	1	1	21	0	0	0	0	0	6	0	2	2	1	0
OTU02901	3	0	11	2	1	0	0	0	1	4	6	0	0	0	0	0
OTU02902	2	0	3	0	2	1	1	0	0	0	4	0	5	3	0	0
OTU02903	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU02904	2	1	0	1	0	1	1	1	0	0	3	0	2	1	1	1
OTU02905	3	1	2	3	3	3	3	1	5	1	4	0	3	0	1	3
OTU02906	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02907	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU02908	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU02909	3	1	5	0	4	0	1	0	0	0	2	0	2	1	0	0
OTU02910	5	3	5	6	9	4	4	4	8	5	7	1	6	4	2	5
OTU02911	3	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0
OTU02912	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02913	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU02914	5	3	2	8	24	1	0	0	0	0	2	0	2	7	1	0
OTU02915	2	0	1	0	2	0	3	0	0	0	1	2	1	0	1	0
OTU02916	2	1	4	0	2	0	0	0	0	0	1	0	7	2	0	0
OTU02917	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU02918	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02919	2	1	1	2	3	1	5	3	3	3	4	2	10	5	2	6
OTU02920	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU02921	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
OTU02922	4	2	2	2	4	3	3	5	10	4	5	1	3	8	4	1
OTU02923	10	12	43	23	0	0	0	17	27	11	47	0	0	0	0	0
OTU02924	2	1	0	6	1	4	4	2	4	2	4	2	2	3	0	6
OTU02925	1	1	4	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU02926	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
OTU02927	1	3	2	4	6	1	4	2	7	1	2	1	0	3	1	2
OTU02928	10	1	0	26	1	0	0	0	6	2	1	0	1	0	0	2
OTU02929	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU02930	3	0	1	1	9	1	0	0	0	0	4	0	1	8	0	0
OTU02931	9	2	6	3	22	3	2	2	4	2	11	0	6	9	0	1
OTU02932	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU02933	4	7	4	3	12	3	11	7	10	10	9	4	13	12	8	15
OTU02934	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU02935	3	3	8	3	7	0	0	2	4	3	12	0	0	1	0	0
OTU02936	4	0	1	4	4	1	1	0	4	3	1	5	4	2	1	3
OTU02937	2	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0
OTU02938	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02939	1	1	1	0	2	2	0	1	0	0	1	1	2	1	0	0
OTU02940	5	3	0	0	3	0	0	0	0	0	1	0	1	1	0	0
OTU02941	5	1	0	1	0	0	0	1	1	0	0	0	2	1	0	0
OTU02942	11	3	11	4	0	0	0	2	13	2	13	0	0	0	0	0
OTU02943	3	1	1	1	2	0	1	2	1	1	3	0	4	2	0	0
OTU02944	21	26	20	24	44	12	40	20	58	28	23	16	30	31	11	25
OTU02945	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU02946	1	33	0	0	4	0	0	3	0	0	42	0	0	0	0	0
OTU02947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02948	8	1	6	0	10	0	2	1	1	0	6	0	7	2	0	0
OTU02949	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU02950	6	0	2	0	2	0	0	0	0	0	1	0	5	8	2	0
OTU02951	5	4	4	2	5	1	4	1	7	3	4	1	3	3	2	4
OTU02952	1	2	0	0	2	0	0	0	2	0	2	0	0	1	0	0
OTU02953	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU02954	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU02955	1	1	1	0	1	1	0	0	0	0	0	0	3	1	0	0
OTU02956	16	17	13	16	15	9	6	11	25	14	27	6	19	15	12	14
OTU02957	7	7	1	4	4	3	5	2	7	7	5	0	8	4	2	4
OTU02958	3	4	3	6	5	6	3	3	7	3	11	8	11	6	3	3
OTU02959	2	0	2	0	3	0	0	0	0	0	0	0	8	0	0	0
OTU02960	1	1	3	0	0	0	0	1	1	0	3	0	0	0	0	0
OTU02961	26	3	19	7	70	12	2	3	0	1	25	0	18	27	1	2
OTU02962	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU02963	6	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0
OTU02964	9	3	23	11	0	0	0	10	31	5	37	0	0	0	0	0
OTU02965	8	4	14	5	31	3	1	1	1	0	17	0	7	13	1	0
OTU02966	12	5	20	2	16	10	1	2	1	0	13	0	7	17	0	0
OTU02967	1	0	0	0	7	0	1	0	1	1	0	1	1	0	0	2
OTU02968	8	3	8	3	37	1	0	4	1	0	8	0	8	15	0	3
OTU02969	2	0	5	3	0	0	0	2	5	1	6	0	0	0	0	0
OTU02970	5	3	13	9	0	0	0	3	14	8	20	0	0	0	0	0
OTU02971	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU02972	1	1	1	1	1	1	0	3	4	3	4	2	1	4	0	0
OTU02973	3	1	3	0	9	1	0	1	0	0	2	0	0	1	0	0
OTU02974	3	0	1	2	0	0	0	0	1	0	1	0	1	0	0	0
OTU02975	3	1	4	0	6	0	1	1	0	0	1	0	3	1	1	0
OTU02976	1	0	2	2	7	0	0	0	0	0	4	0	2	2	0	0
OTU02977	9	3	8	0	21	3	5	0	3	1	5	1	26	7	3	0
OTU02978	1	0	0	0	3	0	0	0	0	0	5	0	0	1	0	0
OTU02979	3	0	4	0	22	1	1	0	0	0	7	0	2	9	0	0
OTU02980	6	0	2	0	14	1	0	0	0	0	2	0	3	5	0	2
OTU02981	3	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0
OTU02982	2	8	2	1	2	4	5	1	5	3	3	6	6	1	2	2
OTU02983	1	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0
OTU02984	8	29	14	18	28	7	22	7	35	13	15	9	16	17	10	19
OTU02985	3	3	1	0	8	0	1	0	0	2	6	0	1	0	0	0
OTU02986	1	0	1	2	0	0	0	1	1	0	0	0	2	2	2	5
OTU02987	3	2	2	2	1	0	2	2	3	3	2	0	6	2	5	2
OTU02988	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU02989	4	2	1	0	8	0	1	2	0	0	5	0	1	7	0	0
OTU02990	3	0	2	1	1	0	0	1	0	0	2	0	0	1	0	0
OTU02991	4	0	0	1	0	0	2	1	1	0	1	1	5	0	2	0
OTU02992	10	11	12	11	19	5	15	13	17	11	16	11	13	8	2	12
OTU02993	1	4	7	6	5	1	7	1	8	1	8	0	8	4	7	10
OTU02994	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
OTU02995	6	2	0	0	4	0	1	2	0	1	9	0	0	1	0	0
OTU02996	1	3	2	2	1	3	1	1	4	2	2	3	4	3	3	3
OTU02997	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU02998	3	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0
OTU02999	3	5	5	4	7	1	2	3	8	1	2	0	1	3	1	4
OTU03000	2	0	5	0	54	2	1	0	0	1	7	0	2	10	0	0
OTU03001	1	2	0	0	3	0	0	0	0	0	1	0	3	1	0	0
OTU03002	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU03003	2	0	0	3	4	0	0	0	0	0	0	0	0	1	0	0
OTU03004	6	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1
OTU03005	1	0	3	0	3	0	0	0	0	0	3	0	0	3	0	0
OTU03006	14	8	9	9	59	2	0	2	0	0	12	0	5	23	1	2
OTU03007	7	4	12	11	6	6	8	15	20	7	25	0	4	7	7	12
OTU03008	2	0	2	0	4	0	0	1	0	0	0	0	0	2	0	1
OTU03009	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
OTU03010	1	0	2	2	0	0	0	1	1	2	0	0	0	0	0	0
OTU03011	2	3	3	0	7	0	0	0	0	0	1	0	3	7	0	0
OTU03012	2	0	0	0	4	2	1	0	0	0	0	1	3	1	0	0
OTU03013	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1
OTU03014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03015	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU03016	1	0	5	0	4	0	0	0	0	0	2	0	1	1	0	0
OTU03017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03018	1	2	0	0	5	0	0	0	0	0	0	0	1	1	0	0
OTU03019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03020	8	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0
OTU03021	3	1	0	2	6	2	3	2	9	2	11	3	3	4	2	4
OTU03022	6	1	0	0	0	0	2	0	0	0	3	0	2	0	0	0
OTU03023	2	0	2	2	0	0	1	0	5	0	5	0	1	0	0	0
OTU03024	2	1	6	3	0	0	0	1	8	0	4	0	0	0	0	0
