	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU00073	15	3	17	15	0	0	0	6	16	6	18	0	0	0	0	0
OTU00074	266	266	279	341	321	172	221	222	378	251	440	170	224	253	169	295
OTU00075	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00076	66	33	83	18	310	28	16	4	3	4	81	0	55	74	5	18
OTU00077	29	6	23	6	70	12	0	4	0	0	30	0	11	36	4	3
OTU00078	389	59	52	210	250	173	241	47	127	20	130	45	284	300	63	251
OTU00079	57	60	66	77	81	52	61	62	112	57	97	72	71	56	64	98
OTU00080	629	817	550	636	1314	463	837	619	1315	605	1060	500	1107	834	653	1022
OTU00081	600	901	653	705	1363	558	958	618	1359	718	1104	576	1193	884	657	1143
OTU00082	324	236	275	313	338	181	282	181	354	238	436	181	299	307	168	260
OTU00083	953	1281	867	1101	1848	731	1310	978	2018	1046	1601	783	1661	1273	990	1715
OTU00084	136	98	168	121	124	466	823	148	143	9	757	49	938	88	179	64
OTU00085	10	1	5	0	7	1	2	0	1	0	2	1	12	3	0	0
OTU00086	5	7	3	9	12	3	6	3	13	7	9	6	17	4	3	13
OTU00087	93	109	75	95	163	74	110	64	176	94	142	81	162	123	94	120
OTU00088	450	631	386	483	1027	361	659	475	1006	455	902	399	779	597	467	808
OTU00089	223	330	220	247	560	168	334	282	492	236	419	198	370	294	221	407
OTU00090	23	8	23	15	67	8	2	5	1	0	23	0	13	15	0	8
OTU00091	28	14	52	33	0	0	0	9	50	18	75	0	0	0	0	0
OTU00092	8	1	8	1	0	0	0	1	3	3	4	0	0	0	0	0
OTU00093	5	10	9	4	13	1	10	5	11	9	7	3	13	9	7	16
OTU00094	834	532	630	117	1753	155	146	141	62	27	1147	9	380	713	66	105
OTU00095	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00096	44	30	47	6	319	19	17	7	1	2	66	0	20	67	0	13
OTU00097	588	892	403	278	0	0	0	263	799	67	590	0	0	0	0	0
OTU00098	5	0	0	0	2	0	0	0	1	0	2	0	1	1	0	0
OTU00099	17	7	32	6	11	5	3	10	19	12	35	4	4	1	5	4
OTU00100	73	102	87	92	175	71	97	87	143	88	142	79	163	118	89	157
OTU00101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00102	8	11	6	5	15	7	11	9	13	8	10	7	6	4	7	13
OTU00103	3706	4854	3360	3922	7061	2740	4627	3423	7276	3928	6043	2782	6380	4860	3983	6487
OTU00104	43	12	75	7	176	17	11	2	0	0	48	0	21	68	2	11
OTU00105	125	168	120	134	275	106	205	123	276	157	195	93	281	168	160	220
OTU00106	41	43	38	39	90	31	53	42	89	47	65	37	73	45	37	79
OTU00107	163	270	181	195	408	134	248	203	399	175	364	172	331	253	232	320
OTU00108	919	257	824	198	2702	232	113	93	37	31	890	2	428	1074	36	152
OTU00109	63	71	42	68	113	57	73	53	92	51	104	32	87	54	52	94
OTU00110	192	882	859	71	136	41	45	27	118	2	29	9	153	1322	55	137
OTU00111	211	158	137	152	242	89	157	94	228	101	305	162	248	216	135	220
OTU00112	96	22	7	7	1	0	2	11	30	4	39	0	1	1	0	0
OTU00113	311	306	211	323	273	509	358	226	368	159	427	335	305	277	758	174
OTU00114	10	0	6	1	15	1	0	0	0	0	2	0	1	5	0	0
OTU00115	463	621	437	527	853	384	636	494	922	528	785	370	786	649	484	846
OTU00116	1089	160	705	5	1202	208	591	113	107	24	418	55	1710	585	92	0
OTU00117	150	47	191	123	0	0	0	68	225	81	300	0	0	0	0	0
OTU00118	69	22	100	53	5	3	6	26	81	30	94	0	2	4	3	4
OTU00119	74	79	61	66	140	54	94	68	114	67	119	45	104	79	58	114
OTU00120	33	5	4	3	10	4	2	0	0	0	24	0	1	53	2	0
OTU00121	5	1	3	0	8	0	1	0	1	1	0	1	8	3	0	0
OTU00122	504	130	71	70	1	0	0	38	163	17	204	0	0	0	0	0
OTU00123	75	18	33	9	3	2	0	8	39	9	54	3	2	1	0	1
OTU00124	449	112	48	40	0	0	0	31	146	24	140	0	0	0	0	0
OTU00125	234	223	273	288	445	231	304	243	367	359	414	191	302	347	241	304
OTU00126	342	4	5	24	2	1	3	4	71	2	9	0	2	3	1	3
OTU00127	51	26	57	16	195	18	7	8	1	2	89	0	21	76	4	10
OTU00128	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00129	7	9	3	2	13	4	7	9	12	10	9	5	7	12	4	11
OTU00130	2	6	6	8	5	2	2	4	9	1	13	5	4	5	3	12
OTU00131	13	10	18	8	0	0	0	13	22	11	30	0	0	0	0	0
OTU00132	10	7	33	1	59	4	1	0	0	0	10	0	5	17	1	0
OTU00133	10	10	12	0	134	2	0	3	0	5	25	0	0	29	0	0
OTU00134	14	1	3	2	10	1	4	1	2	0	3	1	10	9	0	1
OTU00135	1208	1177	1026	1141	1409	611	1111	849	1453	1259	1542	1052	1350	1471	893	2184
OTU00136	17	17	16	7	27	1	4	5	8	5	33	1	9	10	5	4
OTU00137	16	4	10	0	10	3	10	2	0	3	7	1	18	7	1	0
OTU00138	26	4	14	9	0	0	0	5	17	4	18	0	0	0	0	0
OTU00139	442	592	407	491	917	290	555	387	837	433	696	352	704	500	452	734
OTU00140	5	2	0	0	3	1	0	0	2	0	4	0	0	0	0	0
OTU00141	712	339	188	171	224	170	224	146	398	176	344	143	309	215	169	290
OTU00142	45	22	55	26	59	197	206	31	36	9	65	24	388	43	18	22
OTU00143	251	76	326	218	0	0	0	83	320	130	460	0	0	0	0	0
OTU00144	23	15	48	25	1	0	0	16	45	30	64	0	1	0	0	0
OTU00145	8	14	2	6	2	5	5	8	11	3	10	2	11	8	4	8
OTU00146	64	30	107	57	0	0	0	39	105	46	127	0	0	0	0	0
